Series Name,Series Code,Country Name,Country Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Population, total",SP.POP.TOTL,France,FRA,65657659,65997932,66312067,66548272,66724104,66918020,67158348,67382061,67601110,67842811,68065015,68287487,68516699
"Population, total",SP.POP.TOTL,Ukraine,UKR,46210056,46126770,45972380,45784896,45616832,45436041,45208907,44957458,44680014,44298640,41048766,37732836,37860221
"Population, total",SP.POP.TOTL,Afghanistan,AFG,30560034,31622704,32792523,33831764,34700612,35688935,36743039,37856121,39068979,40000412,40578842,41454761,42647492
"Population, total",SP.POP.TOTL,Albania,ALB,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2854191,2837849,2811666,2777689,2745972,2714617
"Population, total",SP.POP.TOTL,Algeria,DZA,37646166,38414171,39205031,40019529,40850721,41689299,42505035,43294546,44042091,44761099,45477389,46164219,46814308
"Population, total",SP.POP.TOTL,American Samoa,ASM,54489,54006,53466,52878,52245,51586,50908,50209,49761,49225,48342,47521,46765
"Population, total",SP.POP.TOTL,Andorra,AND,76834,75194,73737,72174,72181,73763,75162,76474,77380,78364,79705,80856,81938
"Population, total",SP.POP.TOTL,Angola,AGO,25177394,26165620,27160769,28157798,29183070,30234839,31297155,32375632,33451132,34532429,35635029,36749906,37885849
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,87260,88064,88765,89409,89969,90468,90926,91364,91846,92349,92840,93316,93772
"Population, total",SP.POP.TOTL,Argentina,ARG,42161721,42582455,43024071,43477012,43900313,44288894,44654882,44973465,45191965,45312281,45407904,45538401,45696159
"Population, total",SP.POP.TOTL,Armenia,ARM,3024100,3022000,3013800,3004600,2992300,2979400,2969000,2962500,2961500,2962300,2969200,2964300,3033500
"Population, total",SP.POP.TOTL,Aruba,ABW,104110,105675,106807,107906,108727,108735,108908,109203,108587,107700,107310,107359,107624
"Population, total",SP.POP.TOTL,Australia,AUS,22733465,23128129,23475686,23815995,24190907,24592588,24963258,25334826,25649248,25685412,26014399,26652777,27204809
"Population, total",SP.POP.TOTL,Austria,AUT,8429991,8479823,8546356,8642699,8736668,8797566,8840521,8879920,8916864,8955797,9041851,9131761,9178482
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,9295784,9416801,9535079,9649341,9757812,9854033,9939771,10024283,10093121,10137750,10141756,10153958,10202850
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,375469,378953,382298,385346,388055,390485,392717,394675,395863,396373,397538,399440,401283
"Population, total",SP.POP.TOTL,Bahrain,BHR,1208964,1253191,1314562,1370322,1423726,1501116,1503091,1483756,1472204,1504365,1524693,1577059,1588670
"Population, total",SP.POP.TOTL,Bangladesh,BGD,155070101,156532141,157964929,159383179,160811932,162186147,163523103,164913055,166298024,167658854,169384897,171466990,173562364
"Population, total",SP.POP.TOTL,Barbados,BRB,276938,277665,278348,278990,279598,280171,280711,281207,281698,282147,282318,282336,282467
"Population, total",SP.POP.TOTL,Belarus,BLR,9446836,9443211,9448515,9461076,9469379,9458989,9438785,9419758,9379952,9302585,9228071,9178298,9133712
"Population, total",SP.POP.TOTL,Belgium,BEL,11106932,11159407,11209057,11274196,11331422,11375158,11427054,11488980,11538604,11586195,11680210,11787423,11876844
"Population, total",SP.POP.TOTL,Belize,BLZ,334414,341627,348923,356333,364705,373202,380226,385829,390812,395346,402733,411106,417072
"Population, total",SP.POP.TOTL,Benin,BEN,10397657,10708834,11030004,11360681,11697842,12039780,12383347,12726755,13070169,13413417,13759501,14111034,14462724
"Population, total",SP.POP.TOTL,Bermuda,BMU,63646,63574,63529,63464,63449,63578,63831,64107,64382,64648,64749,64698,64636
"Population, total",SP.POP.TOTL,Bhutan,BTN,717279,725273,733139,740618,747866,754335,759759,764824,770006,775442,780914,786385,791524
"Population, total",SP.POP.TOTL,Bolivia,BOL,10515807,10682608,10848888,11014705,11180020,11344587,11508368,11671386,11816299,11937360,12077154,12244159,12413315
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3670113,3610859,3564829,3518541,3473003,3428682,3387000,3345533,3299349,3244907,3204802,3185073,3164253
"Population, total",SP.POP.TOTL,Botswana,BWA,2108617,2140682,2172044,2203273,2234776,2266747,2299141,2332083,2365894,2401441,2439892,2480244,2521139
"Population, total",SP.POP.TOTL,Brazil,BRA,196876111,198478299,200085127,201675532,203218114,204703445,206107261,207455459,208660842,209550294,210306415,211140729,211998573
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,30345,31703,32962,34498,33878,32699,34657,36395,37135,37809,38319,38985,39471
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,405557,411202,416750,422212,427564,432772,437810,442680,447404,451721,455370,458949,462721
"Population, total",SP.POP.TOTL,Bulgaria,BGR,7305888,7160005,7073572,6984225,6894139,6803468,6710798,6616726,6550696,6507301,6465097,6446596,6444366
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,17172287,17695409,18229461,18777487,19334856,19894407,20438288,20961952,21478690,21995243,22509038,23025776,23548781
"Population, total",SP.POP.TOTL,Burundi,BDI,10071028,10439341,10799785,11047580,11239451,11506762,11859446,12255336,12617036,12965481,13321097,13689450,14047786
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,511955,512225,512326,512394,512554,512893,513415,514104,514679,516649,519741,522331,524877
"Population, total",SP.POP.TOTL,Cambodia,KHM,14945085,15170208,15396772,15623251,15852803,16073372,16274522,16481304,16725474,16974305,17201724,17423880,17638801
"Population, total",SP.POP.TOTL,Cameroon,CMR,20809529,21402376,22059893,22763414,23454161,24128601,24806383,25506095,26210558,26915758,27632771,28372687,29123744
"Population, total",SP.POP.TOTL,Canada,CAN,34713395,35080992,35434066,35704498,36110803,36545075,37072620,37618495,38028638,38239864,38935934,40083484,41288599
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,57136,58655,60160,61642,63100,64535,65941,67327,68684,70108,71591,73038,74457
"Population, total",SP.POP.TOTL,Central African Republic,CAF,4610848,4642419,4623182,4629320,4713663,4793511,4878657,4944703,5026628,5112100,5098039,5152421,5330690
"Population, total",SP.POP.TOTL,Chad,TCD,13210998,13691079,14188678,14647621,15114655,15622759,16156531,16685223,17224679,17828273,18455316,19319064,20299123
"Population, total",SP.POP.TOTL,Channel Islands,CHI,160767,161777,162726,163454,163883,164319,164949,165639,166235,166741,167215,167691,168126
"Population, total",SP.POP.TOTL,Chile,CHL,17519119,17687006,17864195,18047625,18267221,18558868,18893191,19197744,19370624,19456334,19553036,19658835,19764771
"Population, total",SP.POP.TOTL,China,CHN,1354190000,1363240000,1371860000,1379860000,1387790000,1396215000,1402760000,1407745000,1411100000,1412360000,1412175000,1410710000,1408975000
"Population, total",SP.POP.TOTL,Colombia,COL,45715810,46151584,46565429,46969940,47437512,48131078,49024465,49907985,50629997,51188173,51737944,52321152,52886363
"Population, total",SP.POP.TOTL,Comoros,COM,681630,696192,711503,726682,741741,756669,771590,786578,802163,818174,834188,850387,866628
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,73254618,75789395,78403242,81035531,83956415,87083398,90047644,92947442,95989998,99148932,102396968,105789731,109276265
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,4740450,4857099,4975880,5097581,5222536,5351011,5483118,5616661,5752791,5892183,6035104,6182885,6332961
"Population, total",SP.POP.TOTL,Costa Rica,CRI,4663934,4716147,4767119,4818038,4866998,4913177,4957818,4999553,5034320,5059988,5081765,5105525,5129910
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,23467078,23939775,24527395,25246342,25989405,26733372,27464173,28193009,28915449,29639736,30395002,31165654,31934230
"Population, total",SP.POP.TOTL,Croatia,HRV,4260368,4233922,4201598,4151725,4106867,4041407,3988775,3949390,3914206,3878981,3855641,3859686,3866300
"Population, total",SP.POP.TOTL,Cuba,CUB,11303175,11298167,11285775,11275065,11265612,11247829,11227118,11202846,11176354,11122168,11059820,11019931,10979783
"Population, total",SP.POP.TOTL,Curacao,CUW,152088,153822,155909,157980,159664,160175,159336,157441,154947,152369,149996,155800,155900
"Population, total",SP.POP.TOTL,Cyprus,CYP,1165397,1183895,1201801,1219502,1237112,1254275,1270737,1286671,1302247,1317309,1331370,1344976,1358282
"Population, total",SP.POP.TOTL,Czechia,CZE,10510785,10514272,10525347,10546059,10566332,10594438,10629928,10671870,10697858,10505772,10672118,10864042,10882164
"Population, total",SP.POP.TOTL,Denmark,DNK,5591572,5614932,5643475,5683483,5728010,5764980,5793636,5814422,5831404,5856733,5903037,5946952,5976992
"Population, total",SP.POP.TOTL,Djibouti,DJI,966747,984824,1002717,1020313,1037653,1054841,1071882,1088709,1105188,1121248,1137096,1152944,1168722
"Population, total",SP.POP.TOTL,Dominica,DMA,69118,69715,70373,70410,69606,68496,68174,67880,67573,67202,66826,66510,66205
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,10070411,10193833,10315528,10434829,10551430,10666843,10782053,10894043,11008300,11123476,11230734,11331265,11427557
"Population, total",SP.POP.TOTL,Ecuador,ECU,15572194,15807128,16035124,16266225,16505139,16759519,17049547,17340021,17546065,17682454,17823897,17980083,18135478
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,93161001,95333553,97528654,99597342,101644589,103696057,105682094,107553158,109315124,110957008,112618250,114535772,116538258
"Population, total",SP.POP.TOTL,El Salvador,SLV,6113975,6138839,6162955,6183676,6200800,6213533,6219807,6222318,6234673,6255782,6280319,6309624,6338193
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,1293483,1346218,1399828,1453923,1508186,1562396,1616422,1670177,1716468,1758786,1803545,1847549,1892516
"Population, total",SP.POP.TOTL,Eritrea,ERI,3036988,3074360,3095173,3105546,3124698,3150347,3192760,3240194,3291271,3350183,3409447,3470390,3535603
"Population, total",SP.POP.TOTL,Estonia,EST,1322696,1317997,1314545,1315407,1315790,1317384,1321977,1326898,1329522,1330932,1348840,1370286,1371986
"Population, total",SP.POP.TOTL,Eswatini,SWZ,1123863,1129990,1136299,1142813,1149507,1158195,1168929,1179874,1192729,1206593,1218917,1230506,1242822
