Country Name,2016 [YR2016]
Australia,49888.0410842736
Bermuda,108747.356144305
Cayman Islands,77802.2541567187
Channel Islands,55950.1482938989
Denmark,54500.9260410217
Faroe Islands,56875.2803813296
Greenland,48181.7453541266
Iceland,61987.9263620283
Ireland,64192.9418053178
Isle of Man,82025.9454509241
Liechtenstein,165375.491396259
Luxembourg,106899.293549552
"Macao, China ",69074.0363049212
Monaco,173604.753555915
Netherlands,46808.5291492503
Norway,70867.3609970749
Qatar,61253.6375482797
Singapore,57005.5887176547
Sweden,51820.3972482676
Switzerland,82153.0745447889
United States,57976.628204291
